Symbol	Company	Country	GICS	Sector	Price
MMM            	3M Company	US                	20	Industrials	85.43
ABT            	Abbott Labs	US                	35	Health Care	42.74
ACE            	ACE Limited	US                	40	Financials	55.54
ADCT           	ADC Telecommunications	US                	45	Information Technology	22.39
ADBE           	Adobe Systems	US                	45	Information Technology	39.2
AMD            	Advanced Micro Devices	US                	45	Information Technology	32.35
AES            	AES Corp.	US                	55	Utilities	16.97
AET            	Aetna Inc.	US                	35	Health Care	38.5
ACS            	Affiliated Computer	US                	45	Information Technology	55.76
AFL            	AFLAC Inc.	US                	40	Financials	47.54
A              	Agilent Technologies	US                	45	Information Technology	38.42
APD            	Air Products & Chemicals	US                	15	Materials	68.52
ACV            	Alberto-Culver	US                	30	Consumer Staples	44.97
ABS            	Albertson's	US                	30	Consumer Staples	25.33
AA             	Alcoa Inc	US                	15	Materials	33.78
AYE            	Allegheny Energy	US                	55	Utilities	35.63
ATI            	Allegheny Technologies Inc	US                	15	Materials	69.34
AGN            	"Allergan, Inc."	US                	35	Health Care	102.72
AW             	Allied Waste Industries	US                	20	Industrials	14.16
ALL            	Allstate Corp.	US                	40	Financials	56.49
AT             	ALLTEL Corp.	US                	50	Telecommunications Services	64.37
ALTR           	Altera Corp.	US                	45	Information Technology	21.84
MO             	"Altria Group, Inc."	US                	30	Consumer Staples	73.16
AMZN           	Amazon Corp.	US                	25	Consumer Discretionary	35.21
ABK            	Ambac Financial Group	US                	40	Financials	82.36
AHC            	Amerada Hess	US                	10	Energy	143.27
AEE            	Ameren Corporation	US                	55	Utilities	50.37
AEP            	American Electric Power	US                	55	Utilities	33.46
AXP            	American Express	US                	40	Financials	53.81
AIG            	American Int'l. Group	US                	40	Financials	65.25
APCC           	American Power Conversion	US                	20	Industrials	22.24
ASD            	American Standard	US                	20	Industrials	43.53
AMP            	"Ameriprise Financial, Inc."	US                	40	Financials	49.04
ABC            	AmerisourceBergen Corp.	US                	35	Health Care	43.15
AMGN           	Amgen	US                	35	Health Care	67.7
ASO            	AmSouth Bancorporation	US                	40	Financials	28.94
APC            	Anadarko Petroleum	US                	10	Energy	104.82
ADI            	Analog Devices	US                	45	Information Technology	37.92
ANDW           	Andrew Corp.	US                	45	Information Technology	10.58
BUD            	Anheuser-Busch	US                	30	Consumer Staples	44.58
AOC            	Aon Corp.	US                	40	Financials	41.91
APA            	Apache Corp.	US                	10	Energy	71.04
AIV            	Apartment Investment & Mgmt'A'	US                	40	Financials	44.69
APOL           	Apollo Group	US                	25	Consumer Discretionary	54.64
AAPL           	Apple Computer	US                	45	Information Technology	70.39
ABI            	Applera Corp-Applied Biosystems Group	US                	35	Health Care	28.84
AMAT           	Applied Materials	US                	45	Information Technology	17.95
AMCC           	Applied Micro Circuits	US                	45	Information Technology	3.67
ADM            	Archer-Daniels-Midland	US                	30	Consumer Staples	36.34
ASN            	Archstone-Smith Trust	US                	40	Financials	48.88
ASH            	Ashland Inc.	US                	15	Materials	65.82
T              	AT&T Inc.	US                	50	Telecommunications Services	26.21
ADSK           	"Autodesk, Inc."	US                	45	Information Technology	42.04
ADP            	Automatic Data Processing Inc.	US                	45	Information Technology	44.08
AN             	"AutoNation, Inc."	US                	25	Consumer Discretionary	22.52
AZO            	AutoZone Inc.	US                	25	Consumer Discretionary	93.61
AV             	Avaya Inc.	US                	45	Information Technology	12
AVY            	Avery Dennison Corp.	US                	20	Industrials	62.5
AVP            	Avon Products	US                	30	Consumer Staples	32.61
BHI            	Baker Hughes	US                	10	Energy	80.83
BLL            	Ball Corp.	US                	15	Materials	39.98
BAC            	Bank of America Corp.	US                	40	Financials	49.92
BK             	Bank of New York	US                	40	Financials	35.15
BCR            	Bard (C.R.) Inc.	US                	35	Health Care	74.46
BRL            	"Barr Pharmaceuticals, Inc."	US                	35	Health Care	60.55
BOL            	Bausch & Lomb	US                	35	Health Care	48.95
BAX            	Baxter International Inc.	US                	35	Health Care	37.7
BBT            	BB&T Corporation	US                	40	Financials	42.94
BSC            	Bear Stearns Cos.	US                	40	Financials	142.51
BDX            	"Becton, Dickinson"	US                	35	Health Care	63.04
BBBY           	Bed Bath & Beyond	US                	25	Consumer Discretionary	38.35
BLS            	BellSouth	US                	50	Telecommunications Services	33.78
BMS            	Bemis Company	US                	15	Materials	31.46
BBY            	"Best Buy Co., Inc."	US                	25	Consumer Discretionary	56.66
BLI            	"Big Lots, Inc."	US                	25	Consumer Discretionary	14.45
BIIB           	BIOGEN IDEC Inc.	US                	35	Health Care	44.85
BMET           	"Biomet, Inc."	US                	35	Health Care	37.18
BJS            	BJ Services	US                	10	Energy	38.05
BDK            	Black & Decker Corp.	US                	25	Consumer Discretionary	93.61
HRB            	Block H&R	US                	25	Consumer Discretionary	22.83
BMC            	BMC Software	US                	45	Information Technology	21.54
BA             	Boeing Company	US                	20	Industrials	83.45
BXP            	Boston Properties	US                	40	Financials	88.27
BSX            	Boston Scientific	US                	35	Health Care	23.24
BMY            	Bristol-Myers Squibb	US                	35	Health Care	25.38
BRCM           	Broadcom Corporation	US                	45	Information Technology	41.11
BF.B           	Brown-Forman Corp.	US                	30	Consumer Staples	74.5
BC             	Brunswick Corp.	US                	25	Consumer Discretionary	39.22
BNI            	Burlington Northern Santa Fe C	US                	20	Industrials	79.53
CA             	"CA, Inc."	US                	45	Information Technology	25.36
CPB            	Campbell Soup	US                	30	Consumer Staples	32.14
COF            	Capital One Financial	US                	40	Financials	86.64
CAH            	"Cardinal Health, Inc."	US                	35	Health Care	67.35
CMX            	Caremark Rx	US                	35	Health Care	45.55
CCL            	Carnival Corp.	US                	25	Consumer Discretionary	46.82
CAT            	Caterpillar Inc.	US                	20	Industrials	75.74
CBS            	CBS Corp.	US                	25	Consumer Discretionary	25.47
CD             	Cendant Corporation	US                	20	Industrials	17.43
CNP            	CenterPoint Energy	US                	55	Utilities	12.02
CTX            	Centex Corp.	US                	25	Consumer Discretionary	55.6
CTL            	Century Telephone	US                	50	Telecommunications Services	37.7
SCHW           	Charles Schwab	US                	40	Financials	17.9
CHK            	Chesapeake Energy	US                	10	Energy	31.68
CVX            	Chevron Corp.	US                	10	Energy	61.02
CB             	Chubb Corp.	US                	40	Financials	51.54
CIEN           	Ciena Corp.	US                	45	Information Technology	4.09
CI             	CIGNA Corp.	US                	35	Health Care	107
CINF           	Cincinnati Financial	US                	40	Financials	42.64
CTAS           	Cintas Corporation	US                	20	Industrials	41.98
CC             	Circuit City Group	US                	25	Consumer Discretionary	28.75
CSCO           	Cisco Systems	US                	45	Information Technology	20.95
CIT            	CIT Group	US                	40	Financials	54.01
C              	Citigroup Inc.	US                	40	Financials	49.95
CZN            	Citizens Communications	US                	50	Telecommunications Services	13.28
CTXS           	Citrix Systems	US                	45	Information Technology	39.92
CCU            	Clear Channel Communications	US                	25	Consumer Discretionary	28.53
CLX            	Clorox Co.	US                	30	Consumer Staples	64.18
CMS            	CMS Energy	US                	55	Utilities	13.32
COH            	"Coach, Inc."	US                	25	Consumer Discretionary	33.02
KO             	Coca Cola Co.	US                	30	Consumer Staples	41.96
CCE            	Coca-Cola Enterprises	US                	30	Consumer Staples	19.53
CL             	Colgate-Palmolive	US                	30	Consumer Staples	59.12
CMCSA          	Comcast Corp.	US                	25	Consumer Discretionary	30.95
CMA            	Comerica Inc.	US                	40	Financials	56.87
CBSS           	Compass Bancshares	US                	40	Financials	54.96
CSC            	Computer Sciences Corp.	US                	45	Information Technology	58.55
CPWR           	Compuware Corp.	US                	45	Information Technology	7.68
CMVT           	Comverse Technology	US                	45	Information Technology	22.65
CAG            	"ConAgra Foods, Inc."	US                	30	Consumer Staples	22.68
COP            	ConocoPhillips	US                	10	Energy	66.9
ED             	Consolidated Edison	US                	55	Utilities	43.12
STZ            	Constellation Brands	US                	30	Consumer Staples	24.7
CEG            	Constellation Energy Group	US                	55	Utilities	54.92
CVG            	Convergys Corp.	US                	45	Information Technology	19.47
CBE            	"Cooper Industries, Ltd."	US                	20	Industrials	91.45
CTB            	Cooper Tire & Rubber	US                	25	Consumer Discretionary	12.7
GLW            	Corning Inc.	US                	45	Information Technology	27.63
COST           	Costco Co.	US                	30	Consumer Staples	54.43
CFC            	Countrywide Financial Corp.	US                	40	Financials	40.66
CVH            	Coventry Health Care Inc.	US                	35	Health Care	49.67
CSX            	CSX Corp.	US                	20	Industrials	68.49
